rin,eng
Nasindakan si Lilly na nakaturog sa pagpara-drowing ku isiw ku pato nira.,"Lilly was startled, having fallen asleep while drawing their duckling."
Agko sira usad na gurangan na pato na nag-itlog sa lima.,They had one old duck that laid five eggs.
Kamuya ni Lilly ta primero niyang magkaagko ataman.,Lilly was happy because it was the first time she had something to take care of.
Kinding nagpaparauran na.,But it already keeps raining.
Diri nira narisa su paglangkaw ku tubig.,They did not notice the water rising.
Naabot su istaran ku mag-inang pato.,It reached the home of the mother duck and her duckling.
Napangrod su kauusad-usad na isiw anggan sa naalinan sa buway.,The only duckling was swept away until it lost its life.
Solo sanang igin si Lilly.,Lilly is an only child.
Dati gusto niya na magbaba su mga higante sa langit tanganing makingayamon kanya sadto uma na arani sa salog.,"Before, she wanted giants to come down from the sky so they could play with her in the field near the river."
"Kada mag-uran, nag-uulat iya na marungog a langit ta amo yan senyales na isan na su higante na nagsisinuludan sa taas.","Every time it rains, she waits to hear the sky because that is the sign that the giants are running above."
Pinagpaparaulat ni Lilly na agko magbaba sa langit.,Lilly waits for something to come down from the sky.
Mas lalo pa iyang namuya ku nangingitlog na su pato.,She became even happier when the duck laid eggs.
"Katama na sige uran, gusto ka mga pato a lalanguyan.","Just right that it was already raining, the ducks wanted a place to swim."
"Pero ku natigbak su kausad-usad na isiw nabuway nag-uno-uno iya ki Langit, inabuan naman niya su mga higante.","But when the only duckling died, she complained to Langit, and she turned away from the giants."
"Kinirikisi nguna ni Lilly su mga mata niya saka sinilngan nanggad su pinagdrowing niyang pato na nginaranan niya sa ""Maggy"".","Lilly first rubbed her eyes and then looked at the duck she had drawn, which she had named ""Maggy""."
Binayaan nguna niya su drowing sadto katre tapos nagdiretso sa kusina.,She left the drawing on the bed and went straight to the kitchen.
"Mama, natigbak lugod si Maggy kading di nagpupundong uran.","Mama, Maggy died because the rain just wouldn’t stop."
"Bai sana Lilly, mingitlog man nanggad su pato ta.","Don't worry, Lilly, our duck will lay eggs again soon."
Sabi ni Mama na naggigiris ku sibulyas.,Mama said while slicing onions.
Tauno ta diri napupundo si Langit na magtangis?,Why does Langit never stop crying?
"Nalilipungow pa si Langit, Lilly.","Langit is still feeling lonely, Lilly."
Isi ni Mama na namumundo si Lilly ku natigbak nirang isiw na pato.,Mama knew that Lilly was grieving because their duckling had died.
ing-ing ni Lilly sa sadiri niya abang nakasilong iya sadto luwas ku purtan sa kusina.,Lilly whispered to herself while looking outside the kitchen.
Pinupugol niya a luwa niya na magbulos dawa nalilipungow na iya ki Maggy.,She held back her tears because she was missing Maggy.
Bagana agko mga insekto na gusto nang lumuwas sa ruruggan niya tanganing mag-iba sa uran pero abo niyang biliwan ta abo niyang arugon a gibo ni Langit.,"It seemed like insects were coming out of her chest to join the rain, but she refused to let them go, not wanting to copy what Langit was doing."
Nagsirang iya sadto luwas ku bintana kin agko natamaan na kawoy su kitkilat.,She peeked outside the window to see if any tree had been struck by the lightning.
Binnurikat su mga mata ni Lilly ku nabayad niya.,Lilly’s eyes widened because of what she saw.
Biglang nabiliwan niya su papel na kapot-kapot.,She suddenly dropped the paper she was holding.
Diri makaiwag si Lilly.,Lilly can't move.
Sabi ku nakangirit na higante na agko tikmong ngipon.,Said the laughing giant with bared teeth.
"Uy, baka makatakot kanimo a igin.","Hey, the child might be scared of you."
Sabi man ku usad abang binabaton su alwag na sarwal.,The other said while adjusting its loose pants.
Nakaamba sana iya sadto bintana na salak-salak su namamatian.,She was just leaning on the window with mixed emotions.
"Uban na namo ikang pinag-oobserbaran, Lilly.","We've been observing you for a long time, Lilly."
Sabi ku matabang higante na agko mabuot na mga mata.,The fat giant with kind eyes said.
"Gusto man namo kintanang makingayamon, pero diri kami makababa.","We also want to play, but we can't come down."
Migsimbag na kintana si Lilly pero agko sinabi su pinaka alangkaw na higante.,"Lilly was about to answer, but the tallest giant spoke."
"Naunaan iya, tapos nag-ula arani sadto bintana kin isari si Lilly. ","He went first, then sat near the window where Lilly was."
Nasimbag ku pinakaalangkaw na higante su unga ni Lilly sa isip.,The tallest giant answered Lilly's question in her mind.
Pinugulan ni Lilly a sadiri dawa nagkakatangis na iya.,Lilly held back herself even though she wanted to cry.
Sisirran na kintana niya su bintana ku binutbot ku matabang higante su isiw na pato sadto bulsa ku bado kadi.,Lilly was about to close the window when the fat giant took the duckling from its pocket.
Diri niya isi kin kaya pa niyang pugulon a itatangis niya.,She did not know if she can still held back her cries.
Luway-luway na isinuksok ku higante su kamot niya sadto bintana saka ibinutang su isiw na pato sadto katre.,"Slowly, the giant tucked his hand through the window and placed the duckling on the bed."
Diri kami nagbubutig.,We are not joking.
Uno problema ta abo mo iyang mabayad utro?,"What's the problem, why don't you want to see him again?"
"Simbag ni Lilly, sabay kirikisi ku mata.",Lilly answered while rubbing her eyes.
Isi mo kin tauno nagparatangis si Langit?,You know why Langit keeps crying?
"Uda man problema kun arugon mo si Langit, Lilly.","There is no problem if you want to copy Langit, Lilly."
Sabi ku higante na agko pinakamabuot na mata.,The giant with the most kind eyes said.
"Arog ni Langit, pigbubo niya a mga naluluyos nang mga tanom sa kinaban.","Like Langit, it waters the withered plants on earth."
"Kaya, itangis mo na a namamati mo.","So, cry what you are feeling."
Namumuya sirang naglayog paiyan ki Langit na nagpupuon naman na magliwanag.,They flew happily towards the sky which was also beginning to shine.
Papayabaon kuno ko niya sa maray.,He will love her so much.
Masupog man ika.,Have some shame.
Irak man ika.,Pity you.
Agko na baga kita kadi.,We already have this.
Kamo naman raw.,Your turn.
Sari na su dating pinabisto mo?,Where is the one you introduced before?
mag bangon naka ta buko man ikang igen sa contractor.,Get up now because you are not a child of a contractor.
Nagparaluya na sana baga.,It's getting weaker.
Alas siyete pa sana uda na lunadan.,It's only seven o'clock but there's no vehicles anymore.
Abot palan nguwan?,Up until now?
Uno masasabi mo kadi?,What can you say about this?
Sari adi?,Where is this?
Diri adi ninyo isi.,You don't know this.
Adtu palan mas payaba niya so alak.,That's why he loves liquor more.
Payaba ko ika sa maray.,I love you so much.
Nag-linog namatian po ninyo?,Did you feel the earthquake?
Mauran na ramrag.,Rainy morning.
Pagal baga.,So tiring.
Di na gayud nakaantos.,Maybe it didn't arrived yet.
Ka mga patal talaga dawa kin kuno.,Really stupid at all times.
Inanod sadto baha.,Washed away by the flood.
Uno na di?,What is this?
Mangnuwa ta di lugod nakapasar.,Look it didn't passed.
Barag-barag pa.,It's everywhere.
Paturugi man ako.,Let me sleep.
Amu di kinaon ko subago.,This is what I ate earlier.
Abo ko na daw.,I don't want anymore.
Usad pa.,Another one.
Diri basang muna kaya pinag tais.,It wasn't even polished first.
panganta na muna.,Sing first.
Pirmi man akong late.,I'm always late.
Bana si rence.,Like Rence.
Kaya man sana ko nag quit.,That's why I quit.
Iiba ko tita ko.,I'll take aunt with me.
Ako na ka samod.,I'll take care of the broom.
Si Jerome pirmi biktima.,Jerome is always the victim.
Uda na.,No more.
Kami na sana ni Christine.,Just Christine and I.
So barkada ta.,Our friend.
Di kaya ika magsisilong.,Because you don't watch.
Agko palan pataas.,There is an uphill.
Lubot su tinampo.,The road has a hole.
Ata kumapot.,Hold on.
Katagam kanimo.,Just like you.
Maray ngani da nagsulod kanato.,Good thing it did not chase us
Mag luway kamo.,Go slow.
Mig bakal na sana ko.,I'll just buy.
Alnas mana.,So slippery.
Amu dapat adi service.,This should be the service.
Arog na di kan nguwan.,It's like this now.
Mus na tulos.,Let's go already.
Nag iinagawan pa kita dati.,We still fight before.
Bakal na kamo.,"Buy now, please."
Bae raw.,Let it be.
Binayaan nako ku mga kaiba ko.,My companion left me.
Mayna kamo!,Let's go!
"Basawon ta, alcalde ka Baao, nagtao nguwan kin pahayag dapit ku nagluwas na bareta sa tv ku usad na gab-i.","Let's read, the mayor of Baao gave a statement regarding the news that came out on tv last night."
"Sa paagi ka kanyang facebook account, nagtao ngowan kin paglilinaw si Alcalde Jeffrey Besinio ka banwaan na Baao Camarines Sur manungod ka sinasabing abandonado kunong flood control project sa Barangay San Francisco.","Through his Facebook account, Mayor Jeffrey Besinio of Baao, Camarines Sur gave a clarification regarding the allegedly abandoned flood control project in Barangay San Francisco."
Agco problema a internet ka PLDT ngowan sa nagca-pirang lugar sa Rinconada.,There is a problem with PLDT internet right now in several areas of Rinconada.
Naoda su internet mga 3:57 ngowan na mararamrag.,The internet went out at about 3:57 in the morning today.
Nag-oolat kita kin update kun ono nangyari.,We are waiting for an update to see what happened.
Standby lang po kita.,Please stay on standby.
Naca-balik na po a serbisyo ka PLDT bandang 9:00 ngowan na ramrag.,PLDT service has returned around 9:00 in the morning today.
"Viaje ka train, rurugangan ngowan na Peñafrancia.","Train trip, additional trips this Peñafrancia."
Migka-agco rugang na viaje a PNR ngowan na umaabot na September 20 anggan 21 panahon ka Peñafrancia tanganing ma-acomodar a dagsa ka mga viajero.,PNR has added extra train trips this coming September 20 and 21 for Peñafrancia to accommodate the large number of travelers.
Puwedeng mag-lunad a mga pasayro ka tren na viajeng Naga paiyan Iriga sa oras na 10:00 kin ramrag.,Passengers can ride the train traveling from Naga to Iriga at 10:00 in the morning.
Susundan man adi kin viajeng poon Iriga paiyan Naga sa oras na 11:15 kin ramrag.,There will also be a train traveling from Iriga to Naga at 11:15 in the morning.
"Pag apon, mig-viaje man a tren poon Naga paiyan Iriga sa oras na 2:00 dangan susundan kin viajeng poon Iriga paiyan Naga sa oras na 3:15.","In the afternoon, a train will also travel from Naga to Iriga at 2:00, followed by a return trip from Iriga to Naga at 3:15."
Mismong si Presidente Bongbong Marcos Jr. amo nagbo-ot ka rugang na viaje tanganing ma-acomodar a pagdagsa ka mga deboto ni Nuestra Señora de Peñafrancia.,President Bongbong Marcos Jr. himself approved the additional trips in order to accommodate the influx of devotees of Nuestra Señora de Peñafrancia.
"Regular man a viaje ka PNR sa rutang Lucena paiyan Calamba, Naga paiyan Sipocot, ag Naga paiyan Legazpi.","There are also regular PNR trips on the Lucena to Calamba route, Naga to Sipocot, and Naga to Legazpi."
Ipig-luwas na ka Malacañang a mga holiday ka sunod na taon.,Malacañang will release the holidays for next year.
Ngata uda February 14?,Why is there no February 14?
"Babayda ngani, bagong bacalon na segunda manong motor, nagcalayo sa Iriga.","Look, newly bought second-hand motorcycle caught up in fire in Iriga."
"Imbes na mapakaray, enterong nagcalayo ading motorsiklong pig-iiray cadi man sanang cagsadiri sa Brgy. San Isidro Iriga City subagong apon.","Instead of being repaired, this motorcycle that was being repaired by its owner in Brgy. San Isidro Iriga City this afternoon caught fire."
"Basado sa impormasyon na nacaabot sa Pasada Rinconada, segunda mano ading motor na bago pa sanang bacalon cading rider sa cantidad na 10 mil de pesos.","Based on the information that reached Pasada Rinconada, the motorcycle was second-hand and was newly bought by the rider for the amount of 10 thousand pesos."
Pinurbaran sigbuwon ku mga kagawad kading barangay su calayo gamit a fire extinguisher alagad diri ninda nagsigbo.,"The barangay officials tried to put out the fire using a fire extinguisher, but they were not able to extinguish it."
Silngan mo adi.,Look at This.
"Flood control project sa Baao, diri tinapos, munisipyo ag DPWH, selyado a mga ngongo.","Flood control project in Baao left unfinished, municipality and DPWH remain silent."
Iniyanan ku GMA News su osad na flood control project sa San Francisco Baao.,"GMA News visited a flood control project in San Francisco, Baao."
"Nabayad mismo su kalidad ku proyekto cun sari gatikat na tiktik sana ku semento, nagin polvoron na sa pagca-pino.","The quality of the project was revealed when the cement was only lightly tapped, it turned into polvoron because of its fineness."
Taadi a report ni Mark Salazar.,Here is the report of Mark Salazar.
"Semento ka riverbank protection sa osad na flood control project sa San Francisco Baao, Camarines Sur, enterong nagigin pino na bagana polvoron pag pinurbaran dukdukon!","The cement of the riverbank protection in a flood control project in San Francisco, Baao, Camarines Sur, is becoming so fine like polvoron when tried to be tapped!"
Ang importante agko concert bago magelection.,What’s important is that there is a concert before the election.
Bistuwon ta a tolong mga contratista na naggibo kin mga flood control projects sadi Rinconada.,Let's get to know the three contractors who built the flood control projects here in Rinconada.
Amo adi a ikarwang daculong contractor sa Bicol na nakatakma kin 44 na mga flood control projects na nag-cacantidad 3.45 bilyones de pesos bilang solo sanang contractor!,This is the second biggest contractor in Bicol that was assigned 44 flood control projects amounting to 3.45 billion pesos as the sole contractor!
